# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0008571428571428571,0.12,0.20428571428571426,10.0,0.50759876,0.13101006,0.0668152,-0.36481175182053494,0.05299999937415123,f-D* trade-off
0.0008571428571428571,0.12,0.26571428571428574,10.0,0.41014147,0.08062601,0.11656976,-0.2634056799590285,0.03200000151991844,f-D* trade-off
0.0008571428571428571,0.12,0.3271428571428572,10.0,0.29732752,0.079595506,0.120764315,-0.21532226648463948,0.03400000184774399,f-D* trade-off
0.0008571428571428571,0.12,0.38857142857142857,10.0,0.2201727,0.07290292,0.06784493,-0.04888604176389919,0.024000000208616257,f-D* trade-off
0.0008571428571428571,0.12,0.45,10.0,0.2269147,0.009515822,0.123327196,0.0657368211746108,0.008999999612569809,f-D* trade-off
0.0011142857142857144,0.01,0.02,10.0,0.6101333,0.20510739,0.1906966,-0.30725714774739965,0.04500000178813934,f-D* trade-off
0.0011142857142857144,0.01,0.08142857142857143,10.0,0.5940759,0.23211402,0.14951271,-0.35816419097198615,0.03799999877810478,f-D* trade-off
0.0011142857142857144,0.01,0.14285714285714285,10.0,0.55870533,0.1496585,0.10667145,-0.3549303763078519,0.04699999839067459,f-D* trade-off
0.0011142857142857144,0.01,0.20428571428571426,10.0,0.5200017,0.15131462,0.11806762,-0.41603060582807366,0.03700000047683716,f-D* trade-off
0.0011142857142857144,0.01,0.26571428571428574,10.0,0.5420684,0.1708011,0.14066446,-0.3675935193278888,0.024000000208616257,f-D* trade-off
0.0011142857142857144,0.01,0.3271428571428572,10.0,0.51101,0.16941833,0.17083335,-0.3858131547926853,0.014000000432133675,f-D* trade-off
0.0011142857142857144,0.01,0.38857142857142857,10.0,0.44191158,0.14885867,0.18596637,-0.38771516458068167,0.010999999940395355,f-D* trade-off
0.0011142857142857144,0.01,0.45,10.0,0.3981964,0.11725873,0.1679681,-0.3594336328461181,0.012000000104308128,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.02,10.0,0.61489236,0.18984711,0.17413205,-0.29235469302499817,0.052000001072883606,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.08142857142857143,10.0,0.57134765,0.12312448,0.11713785,-0.3753859768286919,0.04899999871850014,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.14285714285714285,10.0,0.5607553,0.18853337,0.10056043,-0.3629899503797125,0.04399999976158142,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.20428571428571426,10.0,0.5326307,0.21823335,0.13131839,-0.4122295401906595,0.026000000536441803,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.26571428571428574,10.0,0.5271745,0.19700176,0.18094784,-0.38888431627088893,0.017000000923871994,f-D* trade-off
