# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0008571428571428571,0.025714285714285717,0.02,10.0,0.74273705,-0.015430808,0.43248695,-0.3359086948954367,0.07599999755620956,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.08142857142857143,10.0,0.71253204,-0.0084837675,0.40388376,-0.17148832232004116,0.04500000178813934,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.14285714285714285,10.0,0.64845353,-0.015646577,0.3904968,-0.16072427135393622,0.032999999821186066,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.20428571428571426,10.0,0.63439906,-0.00581038,0.39959323,-0.22319654704834296,0.014999999664723873,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.26571428571428574,10.0,0.621634,0.034374714,0.4063171,-0.17249121779115545,0.009999999776482582,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.3271428571428572,10.0,0.52205825,0.048280776,0.34601617,-0.11659055625362623,0.008999999612569809,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.38857142857142857,10.0,0.4135465,0.03752953,0.29506785,-0.048882737494079176,0.00800000037997961,f-D* trade-off
0.0008571428571428571,0.025714285714285717,0.45,10.0,0.32592058,0.06353891,0.26833665,-0.08822677330853361,0.004999999888241291,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.02,10.0,0.7391892,-0.028155208,0.4351802,-0.314584740149833,0.08299999684095383,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.08142857142857143,10.0,0.7034183,-0.017148614,0.4205293,-0.18523981228985628,0.057999998331069946,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.14285714285714285,10.0,0.65423656,-0.016718745,0.4033379,-0.15715838375237043,0.026000000536441803,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.20428571428571426,10.0,0.6128736,0.018177152,0.3499586,-0.2960052050626356,0.017999999225139618,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.26571428571428574,10.0,0.5479417,0.017137825,0.3247376,-0.20756889710170146,0.014000000432133675,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.3271428571428572,10.0,0.47153986,0.016780972,0.2889784,-0.09109901863495752,0.012000000104308128,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.38857142857142857,10.0,0.351869,0.06112498,0.2863468,-0.10300617688175784,0.008999999612569809,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.45,10.0,0.31414682,0.05692655,0.2613865,-0.15462944080818633,0.0020000000949949026,f-D* trade-off
