snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
38.4478,94.1776,0.00615,22.27644,24.42380,0
20.2600,49.6267,0.68939,7.32316,8.05148,0
26.1632,64.0864,0.32441,14.90213,17.40688,0
29.4186,72.0605,0.04082,14.68341,16.65697,0
24.8879,60.9626,0.03576,19.65236,24.42183,0
18.7838,46.0107,16.11423,18.78162,22.02592,0
12.9783,31.7902,1.18388,4.98017,3.21804,0
29.1813,71.4793,36.63538,17.67803,21.01931,0
62.3016,152.6071,9.68465,49.40353,56.39892,0
11.9982,29.3894,1.59001,10.21260,11.96526,0
35.9836,88.1415,78.58474,31.59771,36.13018,0
32.2533,79.0042,4.17159,23.90155,29.70649,0
27.9994,68.5844,4.37485,23.89299,27.12010,0
31.1890,76.3971,6.76781,18.57401,22.98575,0
26.9140,65.9256,1.64397,21.73737,24.92919,0
18.3741,45.0073,1.07318,7.91694,8.80609,0
13.0837,32.0483,0.68025,10.83362,12.67031,0
17.1659,42.0477,0.01220,10.77543,10.98133,0
28.1156,68.8689,3.79331,16.41944,18.85328,0
16.8913,41.3751,1.62266,9.25595,11.22611,0
12.9209,31.6497,0.15334,3.68319,4.33774,0
30.2494,74.0955,0.80284,16.37683,18.63316,0
26.4244,64.7263,0.46950,17.07860,20.20080,0
35.2144,86.2574,0.11321,21.70731,27.57863,0
32.8792,80.5373,0.33310,15.98477,18.29808,0
50.3925,123.4359,1.10938,19.70587,23.94336,0
14.1162,34.5774,0.60975,12.05044,14.96687,0
17.5350,42.9518,0.05342,7.38298,8.24718,0
31.2926,76.6510,0.26819,19.68008,22.48416,0
37.0957,90.8655,1.32082,24.75061,31.65262,0
41.9096,102.6572,2.14521,21.40369,26.05047,0
34.9234,85.5445,0.19659,22.36851,24.91477,0
30.5502,74.8324,0.73150,18.89138,22.15197,0
31.6917,77.6285,0.10968,15.07406,18.47256,0
11.4388,28.0192,1.00265,3.13626,4.14894,0
34.4669,84.4263,0.96127,15.77339,17.70874,0
36.9397,90.4833,1.28886,17.52221,22.58060,0
34.1339,83.6106,3.97430,29.02321,34.32952,0
22.2245,54.4387,2.82679,8.76599,10.69999,0
27.3437,66.9782,0.01495,17.36536,20.86106,0
29.6679,72.6712,0.65587,26.75868,31.59579,0
24.5777,60.2028,2.05999,16.44384,18.87665,0
23.9281,58.6115,0.07744,11.22514,12.22857,0
19.0718,46.7162,0.38762,5.89867,6.70715,0
29.7294,72.8218,1.47191,14.09201,15.82509,0
38.8079,95.0596,0.31041,16.00143,17.28004,0
36.7028,89.9031,0.07039,17.12208,19.37831,0
16.3888,40.1442,4.90742,4.97355,5.22314,0
27.7437,67.9580,0.46882,17.27158,20.69966,0
