nlls_dstar,npe_dstar,nlls_railed
0.150000,0.013471,1
0.003945,0.022027,0
0.009759,0.019070,0
0.150000,0.021255,1
0.003339,0.022368,0
0.003078,0.019259,1
0.150000,0.022990,1
0.046816,0.026397,0
0.003240,0.015580,1
0.003000,0.022236,1
0.150000,0.017337,1
0.004078,0.036420,0
0.003280,0.016235,1
0.003570,0.020971,0
0.150000,0.022513,1
0.049069,0.030272,0
0.004356,0.013124,0
0.150000,0.015039,1
0.150000,0.014497,1
0.150000,0.024378,1
0.150000,0.018575,1
0.150000,0.014199,1
0.150000,0.013846,1
0.004219,0.039611,0
0.003258,0.017524,1
0.003046,0.023067,1
0.150000,0.015434,1
0.066765,0.024727,0
0.003128,0.024289,1
0.050963,0.021450,0
0.150000,0.043148,1
0.003203,0.022452,1
0.089534,0.040665,0
0.118108,0.033286,0
0.072369,0.036504,0
0.003345,0.028368,0
0.003000,0.017910,1
0.063888,0.060600,0
0.150000,0.033897,1
0.003359,0.053495,0
0.003410,0.017360,0
0.003584,0.022030,0
0.069273,0.043088,0
0.150000,0.027689,1
0.089091,0.022579,0
0.003545,0.021922,0
0.003510,0.019236,0
0.077789,0.059497,0
0.150000,0.032581,1
0.077154,0.031413,0
0.003693,0.021176,0
0.003000,0.025307,1
0.094664,0.035580,0
0.150000,0.037162,1
0.073922,0.028277,0
0.003000,0.023592,1
0.035754,0.057610,0
0.106607,0.047941,0
0.074123,0.019065,0
0.081737,0.046576,0
0.149487,0.047477,1
0.034771,0.043333,0
0.056274,0.045385,0
0.059622,0.062765,0
0.003000,0.053329,1
0.040191,0.052012,0
0.066954,0.043203,0
0.150000,0.036451,1
0.127182,0.041142,0
0.109800,0.039922,0
0.115558,0.036022,0
0.115489,0.039723,0
0.091566,0.028361,0
0.005049,0.037541,0
0.029169,0.061098,0
0.077569,0.064404,0
0.064238,0.039440,0
0.003025,0.059835,1
0.015399,0.056627,0
0.086614,0.044947,0
0.125325,0.048664,0
0.004801,0.030209,0
0.011891,0.059067,0
0.098354,0.047680,0
0.003000,0.065658,1
0.064020,0.025990,0
0.008833,0.068938,0
0.087861,0.063965,0
0.003000,0.051914,1
0.076957,0.029003,0
0.150000,0.060326,1
0.025939,0.081236,0
0.044258,0.072112,0
0.003000,0.058927,1
0.071265,0.045089,0
0.150000,0.060118,1
0.150000,0.071317,1
0.113072,0.052126,0
0.036253,0.057246,0
0.141393,0.021424,0
0.130516,0.035281,0
0.067095,0.036962,0
0.150000,0.058578,1
0.150000,0.025814,1
0.150000,0.055310,1
0.053883,0.053161,0
0.003422,0.067046,0
0.017842,0.032113,0
0.003000,0.071986,1
0.067309,0.025233,0
0.150000,0.052667,1
0.050393,0.056952,0
0.150000,0.031389,1
0.150000,0.048525,1
0.023847,0.066409,0
0.125687,0.013719,0
0.150000,0.021404,1
0.111574,0.042211,0
0.028549,0.064242,0
0.081961,0.050467,0
0.142117,0.023661,0
0.072310,0.042141,0
0.058523,0.061906,0
0.041712,0.066522,0
0.150000,0.024058,1
0.004183,0.042843,0
0.072300,0.012689,0
0.150000,0.036035,1
0.126698,0.048759,0
0.150000,0.043235,1
0.064470,0.023457,0
0.150000,0.023309,1
0.080972,0.019103,0
0.096306,0.041287,0
0.150000,0.037577,1
0.075255,0.026066,0
0.150000,0.058774,1
0.081550,0.036518,0
0.061977,0.044248,0
0.150000,0.037677,1
0.082849,0.027127,0
0.150000,0.052397,1
0.114046,0.052632,0
0.150000,0.073783,1
0.111431,0.037890,0
0.020100,0.069110,0
0.045661,0.041230,0
0.150000,0.044846,1
0.085170,0.051203,0
0.045122,0.064388,0
0.054682,0.060279,0
0.003000,0.069616,1
0.150000,0.058291,1
0.010693,0.070471,0
0.036022,0.071868,0
0.074628,0.014954,0
0.150000,0.040844,1
0.103706,0.026553,0
0.075976,0.051771,0
0.150000,0.046836,1
0.150000,0.031614,1
0.036549,0.052174,0
0.144902,0.039004,0
0.150000,0.029226,1
0.150000,0.017269,1
0.150000,0.066110,1
0.031833,0.041792,0
0.080087,0.045460,0
0.121924,0.041507,0
0.150000,0.025614,1
0.100076,0.054808,0
0.037260,0.054692,0
0.054853,0.055302,0
0.150000,0.028528,1
0.122228,0.029341,0
0.150000,0.041049,1
0.058988,0.025098,0
0.120836,0.062344,0
0.125078,0.030563,0
0.090932,0.022756,0
0.150000,0.040201,1
0.043304,0.026420,0
0.063229,0.030597,0
0.150000,0.030266,1
0.054614,0.021817,0
0.150000,0.047236,1
0.070318,0.016694,0
0.150000,0.013648,1
0.143070,0.029276,0
0.098563,0.026571,0
0.045777,0.045091,0
0.052274,0.037113,0
0.150000,0.058845,1
0.123832,0.023498,0
0.138563,0.027693,0
0.003036,0.056537,1
0.007111,0.065936,0
0.059131,0.063742,0
0.150000,0.037625,1
0.063039,0.035669,0
0.150000,0.062911,1
0.053465,0.047882,0
0.150000,0.065165,1
0.109269,0.069981,0
0.026609,0.017480,0
